file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
s01e04,158.185,159.52,speaker,-49.122398262593286,-52.461309814453124,6.2343637868693405,8.366467015214969
s01e02,1340.265,1343.0,speaker,-42.27411715888278,-45.7695793738732,6.215122512755446,8.666894775832294
s01e05,667.525,669.83,speaker,-48.02570346320346,-50.929972887039185,6.214511926204103,0.38604547406326617
s01e02,899.395,901.96,speaker,-43.706009089250976,-44.95353012084961,6.210122023977504,13.198575877058994
s01e03,478.97,481.94,speaker,-44.419619370791246,-47.447506713867185,6.185818502187449,9.088126677921279
s01e03,606.5,608.77,speaker,-53.63757055341409,-55.2632269859314,6.158743587894324,8.956585157379365
s01e04,1107.6,1110.94,speaker,-49.556845293787426,-53.195107868739534,6.145156878175651,12.58875689402031
s01e03,1196.955,1199.09,speaker,-41.02270851672535,-50.16608132256402,6.142974168568697,8.212099087257485
s01e04,833.995,836.16,speaker,-53.70340530960648,-56.520564524332684,6.137030923945138,0.6658368929995717
s01e01,695.355,697.455,speaker,-45.45399460565476,-48.01442260742188,6.136552715188602,6.7786700032449225
s01e02,1095.855,1098.33,speaker,-46.27569110576923,-48.28320159912109,6.135255018363896,9.462508170484789
s01e05,956.335,958.92,speaker,-44.548987100290695,-50.15043757512019,6.122718834670225,13.048462041486559
s01e02,397.655,400.195,speaker,-43.60075126107284,-47.5704122543335,6.116346377946006,7.639628791952871
s01e01,529.425,531.695,speaker,-45.521854350220266,-48.82866009798917,6.109287972697772,9.09817733501907
s01e04,476.07,477.875,speaker,-40.70071326830111,-40.802350997924805,6.092453605835884,14.822964516822829
s01e05,919.08,921.985,speaker,-43.620443830818964,-47.91527252197265,6.089450488181675,6.772404539402235
s01e01,789.55,790.95,speaker,-48.65397600446428,-52.4949369430542,6.088090452856409,10.91643289078722
s01e03,80.005,82.21,speaker,-45.04484197443182,-45.512548273259945,6.07984673229118,0.26035458796071254
s01e01,333.825,334.965,speaker,-49.0104766310307,-50.614049044522375,6.079499646577455,9.442126283354607
s01e01,1262.125,1264.32,speaker,-44.51157159674658,-50.44760922023228,6.065155797707871,12.791553484600776
s01e01,552.05,554.58,speaker,-40.060546875,-48.38457072864879,6.013931528292946,8.933181071128015
s01e02,1283.04,1285.28,speaker,-40.87827845982143,-45.03375843593052,6.008908257443636,15.483234858719394
s01e03,1036.165,1037.73,speaker,-42.09821917296974,-42.05085754394531,5.998692284695433,8.471205385940838
s01e02,418.31,421.335,speaker,-44.71938056187914,-49.38515731811523,5.9867083029351145,3.13621826043439
s01e02,855.02,858.385,speaker,-39.828087328449556,-45.81752586364746,5.978836221920251,13.450354577002607
s01e02,571.2,573.165,speaker,-42.39260801977041,-46.26003148005559,5.9678381542550705,5.5024032798831755
s01e02,771.37,773.6,speaker,-39.8197388242713,-42.56239471435547,5.9662533060905325,12.637832594591597
s01e04,1213.405,1216.195,speaker,-43.97019559251792,-46.85052090599423,5.9662533060905325,9.019759194165804
s01e01,947.04,948.645,speaker,-51.36237140916149,-50.72392773628235,5.956818499829263,3.0829139861422252
s01e02,549.51,551.58,speaker,-51.10202011624396,-51.64941083467924,5.922432739112246,13.146515044054183
s01e02,44.51,47.07,speaker,-47.446014404296875,-45.580317391289604,5.8895849380109215,9.03364286821307
